,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
0,Wolfsburg,W,4,1.99,11,6,3,2.56,17774
1,Arminia Bielefeld,L,0,0.48,7,3,0,0.28,17774
0,RasenBallsport Leipzig,W,3,1.61,11,4,3,2.60,17775
1,Hoffenheim,L,0,0.17,3,0,0,0.24,17775
0,Bayern Munich,W,1,1.43,14,4,3,2.46,17776
1,Augsburg,L,0,0.28,6,1,0,0.34,17776
0,Arminia Bielefeld,L,0,0.46,8,3,0,0.07,17777
1,Bayern Munich,W,3,3.50,22,8,3,2.90,17777
0,Augsburg,L,0,0.78,13,2,0,0.67,17778
1,Hertha Berlin,W,1,1.63,13,1,3,2.09,17778
0,Mainz 05,D,0,0.72,11,0,1,1.38,17779
1,VfB Stuttgart,D,0,0.63,6,3,1,1.22,17779
0,Hoffenheim,D,0,0.97,16,3,1,1.95,17780
1,Greuther Fuerth,D,0,0.28,8,1,1,0.69,17780
0,Freiburg,W,3,2.46,15,8,3,2.70,17781
1,Bochum,L,0,0.43,10,3,0,0.19,17781
0,Borussia M.Gladbach,L,1,1.20,17,5,0,0.36,17782
1,FC Cologne,W,3,3.01,16,6,3,2.51,17782
0,Union Berlin,W,2,1.32,13,4,3,2.06,17783
1,Eintracht Frankfurt,L,0,0.51,10,3,0,0.67,17783
0,Bayer Leverkusen,L,0,0.73,12,4,0,1.50,17784
1,RasenBallsport Leipzig,W,1,0.51,4,1,3,1.09,17784
0,Borussia Dortmund,W,6,3.32,12,8,3,2.26,17785
1,Wolfsburg,L,1,1.96,10,4,0,0.57,17785
0,Greuther Fuerth,L,1,1.18,8,3,0,0.66,17786
1,Bayer Leverkusen,W,4,2.11,9,5,3,2.13,17786
0,Bochum,L,0,1.19,18,3,0,0.78,17787
1,Augsburg,W,2,1.99,12,5,3,1.99,17787
0,FC Cologne,W,3,1.92,19,6,3,2.25,17788
1,Arminia Bielefeld,L,1,0.74,13,4,0,0.54,17788
0,Hertha Berlin,W,2,0.95,9,2,3,1.83,17789
1,VfB Stuttgart,L,0,0.45,12,5,0,0.82,17789
0,Freiburg,D,3,2.50,19,6,1,2.13,17790
1,Borussia M.Gladbach,D,3,1.52,7,4,1,0.64,17790
0,Eintracht Frankfurt,D,2,1.07,17,7,1,1.59,17791
1,Hoffenheim,D,2,0.76,10,4,1,1.09,17791
0,Wolfsburg,W,5,3.65,15,8,3,2.93,17792
1,Mainz 05,L,0,0.61,5,3,0,0.04,17792
0,RasenBallsport Leipzig,L,1,0.57,5,1,0,0.40,17793
1,Union Berlin,W,2,1.94,14,4,3,2.42,17793
0,Bayern Munich,W,3,2.02,14,6,3,2.07,17794
1,Borussia Dortmund,L,1,1.17,7,2,0,0.68,17794
0,Arminia Bielefeld,D,1,0.40,7,1,1,0.36,17795
1,Hertha Berlin,D,1,1.66,11,5,1,2.45,17795
0,Augsburg,L,1,1.74,12,4,0,0.61,17796
1,FC Cologne,W,4,3.04,17,7,3,2.21,17796
0,Mainz 05,W,3,3.17,22,7,3,2.55,17797
1,Bayern Munich,L,1,1.24,7,1,0,0.32,17797
0,Hoffenheim,L,3,2.60,19,7,0,1.31,17798
1,Freiburg,W,4,2.69,11,5,3,1.45,17798
0,VfB Stuttgart,D,1,0.83,19,5,1,1.03,17799
1,Wolfsburg,D,1,1.16,15,5,1,1.67,17799
0,Borussia M.Gladbach,W,3,1.57,9,6,3,1.63,17800
1,RasenBallsport Leipzig,L,1,1.23,12,7,0,1.09,17800
0,Union Berlin,D,1,0.86,8,3,1,1.99,17801
1,Greuther Fuerth,D,1,0.24,7,2,1,0.64,17801
0,Bayer Leverkusen,W,2,2.18,11,3,3,2.70,17802
1,Eintracht Frankfurt,L,0,0.35,9,4,0,0.19,17802
0,Borussia Dortmund,L,3,3.34,18,9,0,2.31,17803
1,Bochum,W,4,1.90,12,6,3,0.52,17803
0,Greuther Fuerth,L,1,1.23,8,3,0,1.48,17804
1,Borussia Dortmund,W,3,1.13,8,4,3,1.20,17804
0,Bochum,W,2,2.69,17,9,3,2.57,17805
1,Arminia Bielefeld,L,1,0.85,14,4,0,0.30,17805
0,FC Cologne,L,0,0.98,18,9,0,1.13,17806
1,Wolfsburg,W,1,1.14,5,3,3,1.56,17806
